PartnerID,Title,Subtitle,Predecessor,Lang,YearStart,YearEnd,DigitizationStatus
SNL,Le Bien public,,Absorption of Chroniqueur,fr,1879,1888,done
SNL,Le Confédéré de Fribourg,,"Titre 1853-1865: Confédéré : journal démocratique fribourgeois, Titre 1866-1870: Confédéré de Fribourg : journal de la démocratie radicale suisse, Titre 1871-1885: Confédéré : journal des radicaux fribourgeois, Titre 1886-1907: Confédéré de Fribourg : journal démocratique suisse",fr,1848,1907,done
SNL,Le Courrier fribourgeois,,,fr,1830,1830,done
SNL,Le Chroniqueur,"feuille politique, scientifique et littéraire, Variante de titre 1855-1857: Chroniqueur - Gazette de Fribourg, Titre 1858-1863: Chroniqueur de Fribourg, Titre 1865-1881: Chroniqueur suisse",Absorption of Gazette de Fribourg,fr,1854,1881,done
SNL,Freiburger Nachrichten,,Freiburger Zeitung until 16.01.1904,de,1865,2018,partial
SNL,La Gruyère,"journal indépendant, politique et agricole",,fr,1882,2018,partial
SNL,Journal du canton de Fribourg,,,fr,1830,1833,done
SNL,Der Landbote des freiburgischen Seebezirks,,,de,1909,1914,done
SNL,La Liberté,quotidien romand édité à Fribourg,,fr,1871,2018,partial
SNL,Le Narrateur fribourgeois,Journal politique et littéraire,,fr,1840,1855,done
SNL,La Tribune de Fribourg,"Organe littéraire, scientifique et économique",,fr,1905,2018,done
SNL,Le Véridique,"Journal politique, religieux, scientifique et littéraire",,fr,1831,1833,done
SNL,Il Grigione italiano,settimanale di pubblicazione della Valle di Poschiavo,,it,1852,2018,partial
SNL,Fögl d’Engiadina,"Organ uffiziel per las vschinaunchas da Samedan, Silvaplauna, Zernez, Tschlin, Ftan, Sent, Scuol, Garda e Bever",,rm,1887,1939,done
SNL,Graubündner General-Anzeiger,Schweizerische Wochenrundschau,,de,1905,1930,done
SNL,Bündner Landbote,,,de,1846,1847,done
SNL,Bündner Nachrichten,,,de,1885,1892,done
SNL,Der Liberale Alpenbote,tägliche Bündner Zeitung,,de,1848,1860,done
SNL,Der Morgenstern,eine Volkszeitung für Graubünden,,de,1842,1843,done
SNL,Der Volksfreund,,,de,1879,1885,done
SNL,"La Sentinelle, Le Peuple La Sentinelle",journal économique et social : organe du Parti ouvrier (-> 1965),,fr,1890,1971,done
SNL,L'Express,Feuille d'avis de Neuchâtel,Feuille d'avis,fr,1738,2018,partial
SNL,L'Impartial,,,fr,1881,2018,partial
SNL,L'Essor,journal romand,,fr,1906,2018,partial
SNL,St.Galler Zeitung,,,de,1831,1881,done
SNL,Der Wahrheitsfreund,,1836-1843: Der St Gallische Wahrheitsfreund,de,1835,1863,done
